Years,pop_Baden,pop_Bellikon,pop_Bergdietikon,pop_Birmenstorf,pop_Ennetbaden,pop_Fislisbach,pop_Freienwil,pop_Gebenstorf,pop_Killwangen,pop_Künten,pop_Mägenwil,pop_Mellingen,pop_Neuenhof,pop_Niederrohrdorf,pop_Oberrohrdorf,pop_Obersiggenthal,pop_Remetschwil,pop_Spreitenbach,pop_Stetten,pop_Turgi,pop_Untersiggenthal,pop_Wettingen,pop_Wohlenschwil,pop_Würenlingen,pop_Würenlos,pop_Ehrendingen,ent_Baden,ent_Bellikon,ent_Bergdietikon,ent_Birmenstorf,ent_Ehrendingen,ent_Ennetbaden,ent_Fislisbach,ent_Freienwil,ent_Gebenstorf,ent_Killwangen,ent_Künten,ent_Mägenwil,ent_Mellingen,ent_Neuenhof,ent_Niederrohrdorf,ent_Oberrohrdorf,ent_Obersiggenthal,ent_Remetschwil,ent_Spreitenbach,ent_Stetten,ent_Turgi,ent_Untersiggenthal,ent_Wettingen,ent_Wohlenschwil,ent_Würenlingen,ent_Würenlos,services_Baden,services_Bellikon,services_Bergdietikon,services_Birmenstorf (AG),services_Ennetbaden,services_Fislisbach,services_Freienwil,services_Gebenstorf,services_Killwangen,services_Künten,services_Mägenwil,services_Mellingen,services_Neuenhof,services_Niederrohrdorf,services_Oberrohrdorf,services_Obersiggenthal,services_Remetschwil,services_Spreitenbach,services_Stetten (AG),services_Turgi,services_Untersiggenthal,services_Wettingen,services_Wohlenschwil,services_Würenlingen,services_Würenlos,services_Ehrendingen,house_Baden,house_Bellikon,house_Bergdietikon,house_Birmenstorf..AG.,house_Ehrendingen,house_Ennetbaden,house_Fislisbach,house_Freienwil,house_Gebenstorf,house_Killwangen,house_Künten,house_Mägenwil,house_Mellingen,house_Neuenhof,house_Niederrohrdorf,house_Oberrohrdorf,house_Obersiggenthal,house_Remetschwil,house_Spreitenbach,house_Stetten..AG.,house_Turgi,house_Untersiggenthal,house_Wettingen,house_Wohlenschwil,house_Würenlingen,house_Würenlos,rent_Baden,rent_Bellikon,rent_Bergdietikon,rent_Birmenstorf,rent_Ehrendingen,rent_Ennetbaden,rent_Fislisbach,rent_Freienwil,rent_Gebenstorf,rent_Killwangen,rent_Künten,rent_Mägenwil,rent_Mellingen,rent_Neuenhof,rent_Niederrohrdorf,rent_Oberrohrdorf,rent_Obersiggenthal,rent_Remetschwil,rent_Spreitenbach,rent_Stetten,rent_Turgi,rent_Untersiggenthal,rent_Wettingen,rent_Wohlenschwil,rent_Würenlingen,rent_Würenlos,edu_Baden,edu_Bellikon,edu_Bergdietikon,edu_Birmenstorf,edu_Ehrendingen,edu_Ennetbaden,edu_Fislisbach,edu_Freienwil,edu_Gebenstorf,edu_Killwangen,edu_Künten,edu_Mägenwil,edu_Mellingen,edu_Neuenhof,edu_Niederrohrdorf,edu_Oberrohrdorf,edu_Obersiggenthal,edu_Remetschwil,edu_Spreitenbach,edu_Stetten,edu_Turgi,edu_Untersiggenthal,edu_Wettingen,edu_Wohlenschwil,edu_Würenlingen,edu_Würenlos,health_Baden,health_Bellikon,health_Bergdietikon,health_Birmenstorf,health_Ehrendingen,health_Ennetbaden,health_Fislisbach,health_Freienwil,health_Gebenstorf,health_Killwangen,health_Künten,health_Mägenwil,health_Mellingen,health_Neuenhof,health_Niederrohrdorf,health_Oberrohrdorf,health_Obersiggenthal,health_Remetschwil,health_Spreitenbach,health_Stetten,health_Turgi,health_Untersiggenthal,health_Wettingen,health_Wohlenschwil,health_Würenlingen,health_Würenlos,entertainment_Baden,entertainment_Bellikon,entertainment_Bergdietikon,entertainment_Birmenstorf,entertainment_Ehrendingen,entertainment_Ennetbaden,entertainment_Fislisbach,entertainment_Freienwil,entertainment_Gebenstorf,entertainment_Killwangen,entertainment_Künten,entertainment_Mägenwil,entertainment_Mellingen,entertainment_Neuenhof,entertainment_Niederrohrdorf,entertainment_Oberrohrdorf,entertainment_Obersiggenthal,entertainment_Remetschwil,entertainment_Spreitenbach,entertainment_Stetten,entertainment_Turgi,entertainment_Untersiggenthal,entertainment_Wettingen,entertainment_Wohlenschwil,entertainment_Würenlingen,entertainment_Würenlos
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8607,8552,9946,7591,7538,9651,7918,7670,7702,8923,7312,7112,7236,8564,7733,8744,8340,8083,8975,7220,7099,7682,9028,7015,6188,8592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,19839,1571,2938,3010,3613,5984,1102,5665,2072,1888,2194,6019,8972,4498,4165,8782,2070,12322,2420,3010,7486,21094,1820,5005,6727,4827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7765,8059.237,8404.552,8066.848,7895.617,8181.001,7895.617,7277.286,7372.414,8513.949,7324.85,7372.414,7419.978,7279.4,7562.67,7657.798,7705.362,7895.617,8561.513,7752.925,7657.798,7610.234,8418.821,7657.798,6944.338,7800.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,19634,1564,2945,2955,3571,5695,1104,5631,2064,1858,2143,5958,8918,4389,4080,8719,2060,12102,2329,2972,7397,21049,1757,4940,6494,4865,2442,85,200,172,273,208,260,62,288,116,113,189,355,369,243,196,383,127,787,143,139,307,1278,102,299,388,631,22,32,30,64,40,49,16,40,24,33,30,72,63,46,34,87,20,114,14,41,51,263,16,46,85,6958,7120.325,7719.631,7419.978,7277.286,7467.542,7229.722,6754.082,7039.466,7848.053,6611.39,6754.082,6849.21,7157.05714285714,6944.338,6991.902,7182.158,7182.158,7848.053,6801.646,7182.158,7039.466,7705.362,6991.902,6516.263,7182.158,160.05,109.44,154.55,90.82,148.5,165.55,135.75,77.4,123.25,141.9,81.4,101.4,94.29,133.64,108.9,121.5,120,131.5,166.5,91.14,125.28,117.25,172.935,109.35,76.84,140.25,121,7,7,10,18,21,10,6,15,7,6,9,21,17,22,15,26,6,42,7,12,18,78,4,13,24,370,6,11,14,22,20,29,4,15,4,9,4,26,23,21,18,33,4,36,6,14,16,144,4,19,44,109,4,4,4,12,12,9,4,13,8,4,4,12,9,9,7,22,8,20,4,9,11,33,4,15,15
2020,19621,1544,2909,2962,3486,5578,1110,5514,2051,1838,2139,5865,8954,4225,4037,8661,2023,12126,2224,2963,7229,21099,1677,4838,6511,4880,2395,82,191,173,275,216,261,60,282,126,117,186,363,369,237,202,376,131,780,139,141,299,1286,100,297,388,596,27,29,29,61,43,58,8,37,24,37,26,75,57,44,40,76,20,113,14,44,53,261,16,50,84,6760,6896.774,7358.145,7163.132,7087.03,7419.978,6944.338,6516.263,6896.774,7419.978,6421.135,6135.751,6658.954,7095.886,6658.954,6706.518,7087.03,6896.774,7562.67,6563.826,7039.466,6944.338,7515.106,6706.518,6373.571,6896.774,151.32,102.6,140.5,88.43,148.5,165.55,130.32,73.53,110.925,130.075,77,96.33,87.555,128.5,99,108,112.8,123.61,158.175,82.46,127.89,110.215,164.7,97.2,74.58,123.42,108,7,8,11,17,19,10,6,16,9,6,7,23,17,22,14,28,7,41,7,13,20,77,4,11,21,350,7,9,13,22,23,31,4,14,4,9,5,26,21,20,16,32,4,38,6,15,17,146,4,19,45,98,8,4,4,12,13,10,0,13,8,8,4,11,8,9,11,20,8,18,4,10,11,33,4,12,14
2019,19547,1550,2831,2988,3501,5552,1038,5461,2057,1795,2123,5772,8950,4134,4080,8628,2019,12065,2201,3004,7211,20934,1603,4768,6494,4840,2430,86,191,173,265,219,264,57,278,123,115,191,353,392,234,213,373,131,782,145,144,295,1279,103,298,394,615,27,30,28,61,48,58,12,40,24,42,26,77,61,36,44,77,24,112,14,47,57,260,21,51,78,6564,6844.454,7177.402,7077.517,6991.902,7324.85,6801.646,6468.699,6801.646,7372.414,6326.007,6421.135,6563.826,7034.714,6563.826,6563.826,6991.902,6801.646,7467.542,6468.699,6991.902,6849.21,7419.978,6658.954,6278.443,6801.646,148.41,91.2,140.5,83.65,139.59,156.52,122.175,67.725,105.995,125.345,70.4,91.26,85.31,120.79,91.575,102.6,112.8,105.2,158.175,75.95,122.67,105.525,156.465,97.2,70.06,117.81,112,7,8,10,15,24,10,5,17,8,6,6,22,22,21,17,31,8,50,8,15,19,75,5,14,28,362,7,10,12,25,29,30,4,14,4,10,4,27,21,21,16,29,4,32,6,17,18,149,4,20,41,105,8,4,4,10,12,9,0,11,8,8,8,10,8,9,11,19,8,20,4,10,10,42,4,11,16
2018,19342,1562,2829,2991,3499,5546,1053,5414,2074,1750,2112,5633,8825,4105,4072,8568,1991,11881,2202,3013,7240,20852,1566,4702,6484,4823,2398,80,187,175,252,220,255,56,283,123,111,195,341,397,227,202,383,130,742,133,148,289,1256,103,291,403,592,21,28,27,60,53,58,12,47,25,41,22,76,61,36,42,76,26,103,12,47,55,254,21,49,78,6620,6787.377,7115.568,6944.338,6706.518,7087.03,6658.954,6326.007,6658.954,7182.158,6278.443,6326.007,6468.699,6851.2,6421.135,6468.699,6849.21,6658.954,7372.414,6373.571,6801.646,6706.518,7182.158,6611.39,6230.879,6706.518,145.5,91.2,134.88,74.09,118.8,156.52,108.6,59.985,98.6,118.25,70.4,88.725,78.575,115.65,81.675,99.9,108,105.2,158.175,71.61,117.45,100.835,142.74,97.2,67.8,112.2,114,8,7,11,16,25,10,5,17,8,6,7,19,22,17,17,30,8,46,10,17,19,76,4,14,26,337,5,8,12,23,29,29,4,16,4,8,4,26,19,16,14,28,5,29,4,17,16,149,4,20,42,105,4,4,4,10,13,10,0,11,8,8,8,11,9,8,8,18,8,20,4,10,12,36,4,11,16
2017,19175,1548,2827,2972,3496,5546,1037,5258,2074,1747,2116,5492,8730,4025,4123,8568,2076,11788,2218,2951,7219,20721,1556,4658,6386,4837,2423,80,189,179,247,230,260,57,292,122,108,201,341,398,227,200,392,128,747,139,154,292,1281,102,303,399,581,25,30,35,59,56,56,12,47,24,32,23,73,64,35,40,71,25,109,12,44,55,251,24,54,79,6698,6677.98,7569.101,5674.081,5824.818,7678.144,6073.466,6070.123,6198.059,6692.25,5805.285,5554.935,5762.802,6728.857,5983.869,6840.894,6700.925,6291.881,6765.769,5715.833,5762.718,6136.509,7104,5579.181,5030.245,6793.674,130.95,79.8,106.78,66.92,103.95,135.45,95.025,52.245,93.67,94.6,63.8,81.12,74.085,84.81,74.25,86.4,91.2,92.05,147.075,65.1,96.57,93.8,109.8,89.91,61.02,92.565,117,9,6,10,18,25,9,5,19,8,6,6,20,22,14,16,29,8,42,10,18,17,74,5,13,25,339,5,10,13,24,33,28,4,15,4,8,4,23,21,15,12,28,5,32,4,18,17,142,4,21,42,99,8,4,4,9,15,11,0,12,8,6,8,10,8,9,8,15,8,20,4,9,12,37,4,12,13
2016,19222,1549,2751,2967,3415,5526,1035,5157,1981,1700,2114,5369,8750,3747,4082,8663,2104,11531,2203,3031,7224,20535,1538,4618,6336,4775,2411,86,187,177,240,218,267,57,293,129,114,215,347,409,229,206,386,125,769,134,164,300,1289,105,298,404,570,21,30,34,60,55,57,12,49,24,30,23,70,64,38,43,68,26,112,16,44,58,244,24,51,76,6458.72243141474,6530.53170189099,7294.43759957515,5480.37107921319,5653.5,7464.86187845304,5938.5,5881.9018404908,5970.18934911243,6413.40625,5672.33939393939,5344.52071005917,5589.48502994012,6545.3429,5845.77976190476,6686.58823529412,6508.09248554913,6154.10227272727,6489.61538461538,5500.95238095238,5595.68235294118,5954.68639053254,6956,5456.11111111111,4870.55483870968,6593.86046511628,116.4,75.24,98.35,59.75,89.1,120.4,81.45,46.44,76.415,82.775,59.4,70.98,62.86,89.95,66.825,81,84,86.79,111,60.76,86.13,75.04,104.31,80.19,51.98,89.76,118,8,7,10,18,24,10,5,20,9,5,4,22,23,15,19,33,10,49,9,19,16,72,5,13,26,337,5,10,13,25,31,27,4,16,4,6,4,18,22,16,13,27,6,33,4,19,16,126,4,18,38,93,4,4,5,8,14,11,0,11,8,7,8,14,9,9,8,15,8,25,4,10,14,35,4,12,14
2015,19012,1548,2682,2922,3324,5556,980,4975,1960,1671,2083,5343,8819,3693,4032,8590,2041,11253,2139,2988,7161,20298,1510,4577,6200,4743,2358,87,199,177,238,209,263,58,289,122,111,207,345,397,219,209,383,122,752,137,159,304,1295,99,295,394,565,20,27,29,55,50,47,12,50,25,29,20,71,63,37,43,69,24,104,24,45,52,243,16,53,70,6250.377,6402.109,7135.978,5306.839,5525.011,7304.901,5803.534,5787.791,5833.467,6320.458,5539.394,5218.272,5459.497,6468.699,5753.72,6583.718,6363.468,6016.324,6351.538,5372.024,5470.406,5818.32,6758.667,5292.018,4790.71,6493.953,101.85,68.4,84.3,52.58,80.19,105.35,76.02,42.57,69.02,70.95,55,60.84,58.37,77.1,61.875,75.6,79.2,78.9,102.675,54.25,78.3,70.35,96.075,72.9,47.46,84.15,116,9,7,9,14,24,10,5,16,8,4,4,21,21,12,19,31,9,46,7,16,16,66,5,15,28,332,4,11,11,22,27,23,4,20,4,5,4,18,21,17,12,28,4,29,4,20,13,127,4,19,34,91,4,4,6,8,15,10,0,12,8,5,8,12,9,10,8,14,8,21,8,9,15,42,0,12,13
2014,18670,1541,2652,2904,3302,5568,970,4911,1929,1685,2078,5150,8603,3622,4000,8637,2040,11040,2013,2962,7104,20221,1482,4452,6068,4716,2351,100,200,176,240,206,254,58,299,121,110,199,340,403,216,212,399,129,752,137,158,295,1297,93,294,391,564,28,27,33,57,45,46,12,53,29,30,27,68,61,38,43,73,24,97,16,47,50,244,16,48,73,6088.33,6326.007,7135.978,5149.45,5439.352,7144.939,5668.568,5693.681,5696.746,6227.51,5539.394,5134.107,5329.509,6088.187,5615.631,6480.847,6315.26,5970.398,6305.513,5329.048,5386.888,5727.408,6610.667,5250.994,4790.71,6344.093,87.3,63.84,89.92,47.8,74.25,96.32,67.875,38.7,64.09,63.855,52.8,60.84,53.88,69.39,51.975,70.2,72,71.01,97.125,54.25,78.3,65.66,82.35,68.04,45.2,70.125,105,9,7,9,12,25,14,5,17,8,4,4,22,19,12,19,31,10,50,7,16,15,69,6,16,29,331,4,10,11,22,22,22,4,21,4,6,4,16,21,18,11,27,4,27,4,18,13,127,4,15,36,89,8,4,9,8,14,10,0,12,8,6,8,11,9,9,8,18,8,20,4,9,15,42,0,12,14
2013,18553,1563,2524,2856,3264,5488,967,4894,1897,1673,2060,4887,8414,3645,3981,8586,2049,10970,1958,2956,7091,20211,1473,4302,5972,4519,2290,100,187,173,242,195,248,55,282,108,111,192,337,399,213,211,390,124,722,139,157,277,1289,99,280,374,538,25,22,28,57,40,46,12,51,29,25,25,65,63,37,39,73,24,96,24,46,52,246,17,47,67,1240.815,6183.315,6982.8,4996.097,5310.864,6931.657,5578.591,5552.515,5560.024,5995.141,5406.448,5007.858,5242.85,5945.495,5523.571,6326.541,6074.22,5832.619,6075.385,5200.119,5178.094,5545.586,6364,5045.877,4670.942,6144.279,72.75,59.28,75.87,40.63,74.25,90.3,62.445,34.83,51.765,61.49,44,50.7,44.9,64.25,49.5,62.1,60,65.75,83.25,47.74,57.42,51.59,74.115,55.89,33.9,61.71,102,9,7,10,12,21,12,5,15,8,4,5,24,20,13,19,23,10,46,8,16,14,68,8,12,24,312,5,9,10,23,20,22,4,18,0,5,4,16,23,14,11,28,4,26,4,17,13,128,5,11,32,87,4,4,6,9,10,9,4,10,8,5,8,10,9,9,5,18,8,21,4,9,13,38,0,11,14
2012,18522,1588,2404,2727,3167,5441,942,4801,1825,1622,2041,4748,8360,3649,3929,8450,2053,10930,1758,2937,6876,20135,1458,4239,5850,4304,2262,100,188,174,232,181,252,56,281,111,109,195,324,366,222,205,391,138,727,131,148,271,1270,99,281,383,528,17,25,32,55,37,48,12,53,32,28,31,62,62,38,38,69,25,99,20,46,50,235,22,49,69,1004.69,6016.841,6681.726,4753.96,5139.545,6558.414,5398.636,5364.294,5377.728,5762.771,5184.873,4881.609,5069.533,5897.931,5339.452,6069.365,5833.179,5648.915,5753.205,5028.214,4969.3,5363.763,6068,4840.76,4551.174,5944.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,8,6,10,12,21,9,4,16,8,4,6,23,18,19,16,26,11,50,9,13,12,72,5,13,23,303,5,12,11,21,18,23,4,18,4,4,4,16,23,17,10,28,4,24,4,17,12,120,5,13,34,86,4,4,10,8,11,9,0,8,8,10,9,8,10,8,7,16,8,19,4,8,11,38,0,11,14
2011,18189,1592,2370,2645,3094,5367,930,4659,1816,1600,1994,4621,8207,3550,3924,8278,2039,10782,1671,2893,6855,19986,1465,4212,5764,4237,2197,99,197,170,233,174,249,57,291,109,116,193,331,350,211,207,377,131,702,139,137,263,1233,96,269,370,516,21,26,27,51,34,50,12,53,28,29,31,65,59,36,37,58,24,95,24,42,46,235,20,46,63,726.8956,5702.9188,6370.0882,4515.8581,4839.7386,6291.8122,5218.6818,5129.0184,5149.858,5437.4531,5007.6121,4713.2781,4896.2156,5802.803,5155.3333,5812.1882,5543.9306,5327.4318,5477.0513,4856.3095,4760.5059,5136.4852,5722.6667,4676.6667,4351.5613,5644.7442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,8,6,8,11,16,9,5,19,9,4,5,23,18,18,17,27,10,50,12,13,12,67,6,13,24,294,5,13,11,20,15,24,4,15,4,5,5,19,20,14,10,24,4,25,4,12,11,121,4,10,30,77,4,4,11,4,11,8,0,9,8,10,8,9,9,8,7,13,8,16,8,8,9,35,0,9,12
