"","GMDE","Gemeinde","B22BTOT","B21BTOT","B20BTOT","B19BTOT","B18BTOT","B17BTOT","B16BTOT","B15BTOT","B14BTOT","B13BTOT","B12BTOT","B11BTOT"
"1",4021,"Baden",19839,19634,19621,19547,19342,19175,19222,19012,18670,18553,18522,18189
"2",4022,"Bellikon",1571,1564,1544,1550,1562,1548,1549,1548,1541,1563,1588,1592
"3",4023,"Bergdietikon",2938,2945,2909,2831,2829,2827,2751,2682,2652,2524,2404,2370
"4",4024,"Birmenstorf (AG)",3010,2955,2962,2988,2991,2972,2967,2922,2904,2856,2727,2645
"5",4026,"Ennetbaden",3613,3571,3486,3501,3499,3496,3415,3324,3302,3264,3167,3094
"6",4027,"Fislisbach",5984,5695,5578,5552,5546,5546,5526,5556,5568,5488,5441,5367
"7",4028,"Freienwil",1102,1104,1110,1038,1053,1037,1035,980,970,967,942,930
"8",4029,"Gebenstorf",5665,5631,5514,5461,5414,5258,5157,4975,4911,4894,4801,4659
"9",4030,"Killwangen",2072,2064,2051,2057,2074,2074,1981,1960,1929,1897,1825,1816
"10",4031,"K체nten",1888,1858,1838,1795,1750,1747,1700,1671,1685,1673,1622,1600
"11",4032,"M채genwil",2194,2143,2139,2123,2112,2116,2114,2083,2078,2060,2041,1994
"12",4033,"Mellingen",6019,5958,5865,5772,5633,5492,5369,5343,5150,4887,4748,4621
"13",4034,"Neuenhof",8972,8918,8954,8950,8825,8730,8750,8819,8603,8414,8360,8207
"14",4035,"Niederrohrdorf",4498,4389,4225,4134,4105,4025,3747,3693,3622,3645,3649,3550
"15",4037,"Oberrohrdorf",4165,4080,4037,4080,4072,4123,4082,4032,4000,3981,3929,3924
"16",4038,"Obersiggenthal",8782,8719,8661,8628,8568,8568,8663,8590,8637,8586,8450,8278
"17",4039,"Remetschwil",2070,2060,2023,2019,1991,2076,2104,2041,2040,2049,2053,2039
"18",4040,"Spreitenbach",12322,12102,12126,12065,11881,11788,11531,11253,11040,10970,10930,10782
"19",4041,"Stetten (AG)",2420,2329,2224,2201,2202,2218,2203,2139,2013,1958,1758,1671
"20",4042,"Turgi",3010,2972,2963,3004,3013,2951,3031,2988,2962,2956,2937,2893
"21",4044,"Untersiggenthal",7486,7397,7229,7211,7240,7219,7224,7161,7104,7091,6876,6855
"22",4045,"Wettingen",21094,21049,21099,20934,20852,20721,20535,20298,20221,20211,20135,19986
"23",4046,"Wohlenschwil",1820,1757,1677,1603,1566,1556,1538,1510,1482,1473,1458,1465
"24",4047,"W체renlingen",5005,4940,4838,4768,4702,4658,4618,4577,4452,4302,4239,4212
"25",4048,"W체renlos",6727,6494,6511,6494,6484,6386,6336,6200,6068,5972,5850,5764
"26",4049,"Ehrendingen",4827,4865,4880,4840,4823,4837,4775,4743,4716,4519,4304,4237
