"","Gemeinde","...2","...3","...4","Average Rent per m2/year for a house","...6","...7","...8","...9","Average Rent per m2/year for an appartement","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase in prices in the last 10 years in %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,"2023",NA,NA,NA,NA,2023,NA,"2022",2021,2020,2019,2018,2017,2016,2015,2014,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Baden",NA,NA,NA,"247",NA,NA,NA,NA,335,NA,"0.75",0.55,0.52,0.51,0.5,0.45,0.4,0.35,0.3,0.25,160.05,151.32,148.41,145.5,130.95,116.4,101.85,87.3,72.75
"6","Bellikon",NA,NA,NA,"NA",NA,NA,NA,NA,228,NA,"0.75",0.48,0.45,0.4,0.4,0.35,0.33,0.3,0.28,0.26,109.44,102.6,91.2,91.2,79.8,75.24,68.4,63.84,59.28
"7","Bergdietikon",NA,NA,NA,"253",NA,NA,NA,NA,309,NA,"0.76",0.55,0.5,0.5,0.48,0.38,0.35,0.3,0.32,0.27,154.55,140.5,140.5,134.88,106.78,98.35,84.3,89.92,75.87
"8","Birmenstorf",NA,NA,NA,"255",NA,NA,NA,NA,223,NA,"0.5",0.38,0.37,0.35,0.31,0.28,0.25,0.22,0.2,0.17,90.82,88.43,83.65,74.09,66.92,59.75,52.58,47.8,40.63
"9","Ehrendingen",NA,NA,NA,"357",NA,NA,NA,NA,237,NA,"0.75",0.5,0.5,0.47,0.4,0.35,0.3,0.27,0.25,0.25,148.5,148.5,139.59,118.8,103.95,89.1,80.19,74.25,74.25
"10","Ennetbaden",NA,NA,NA,"264",NA,NA,NA,NA,338,NA,"0.8",0.55,0.55,0.52,0.52,0.45,0.4,0.35,0.32,0.3,165.55,165.55,156.52,156.52,135.45,120.4,105.35,96.32,90.3
"11","Fislisbach",NA,NA,NA,"288",NA,NA,NA,NA,255,NA,"0.75",0.5,0.48,0.45,0.4,0.35,0.3,0.28,0.25,0.23,135.75,130.32,122.175,108.6,95.025,81.45,76.02,67.875,62.445
"12","Freienwil",NA,NA,NA,"157",NA,NA,NA,NA,230,NA,"0.5",0.4,0.38,0.35,0.31,0.27,0.24,0.22,0.2,0.18,77.4,73.53,67.725,59.985,52.245,46.44,42.57,38.7,34.83
"13","Gebenstorf",NA,NA,NA,"238",NA,NA,NA,NA,255,NA,"0.6",0.5,0.45,0.43,0.4,0.38,0.31,0.28,0.26,0.21,123.25,110.925,105.995,98.6,93.67,76.415,69.02,64.09,51.765
"14","Killwangen",NA,NA,NA,"171",NA,NA,NA,NA,302,NA,"0.8",0.6,0.55,0.53,0.5,0.4,0.35,0.3,0.27,0.26,141.9,130.075,125.345,118.25,94.6,82.775,70.95,63.855,61.49
"15","K체nten",NA,NA,NA,"212",NA,NA,NA,NA,228,NA,"0.5",0.37,0.35,0.32,0.32,0.29,0.27,0.25,0.24,0.2,81.4,77,70.4,70.4,63.8,59.4,55,52.8,44
"16","M채genwil",NA,NA,NA,"251",NA,NA,NA,NA,256,NA,"0.6",0.4,0.38,0.36,0.35,0.32,0.28,0.24,0.24,0.2,101.4,96.33,91.26,88.725,81.12,70.98,60.84,60.84,50.7
"17","Mellingen",NA,NA,NA,"194",NA,NA,NA,NA,255,NA,"0.65",0.42,0.39,0.38,0.35,0.33,0.28,0.26,0.24,0.2,94.29,87.555,85.31,78.575,74.085,62.86,58.37,53.88,44.9
"18","Neuenhof",NA,NA,NA,"NA",NA,NA,NA,NA,257,NA,"0.63",0.52,0.5,0.47,0.45,0.33,0.35,0.3,0.27,0.25,133.64,128.5,120.79,115.65,84.81,89.95,77.1,69.39,64.25
"19","Niederrohrdorf",NA,NA,NA,"235",NA,NA,NA,NA,260,NA,"0.65",0.44,0.4,0.37,0.33,0.3,0.27,0.25,0.21,0.2,108.9,99,91.575,81.675,74.25,66.825,61.875,51.975,49.5
"20","Oberrohrdorf",NA,NA,NA,"279",NA,NA,NA,NA,261,NA,"0.65",0.45,0.4,0.38,0.37,0.32,0.3,0.28,0.26,0.23,121.5,108,102.6,99.9,86.4,81,75.6,70.2,62.1
"21","Obersiggenthal",NA,NA,NA,"219",NA,NA,NA,NA,261,NA,"0.63",0.5,0.47,0.47,0.45,0.38,0.35,0.33,0.3,0.25,120,112.8,112.8,108,91.2,84,79.2,72,60
"22","Remetschwil",NA,NA,NA,"257",NA,NA,NA,NA,269,NA,"0.75",0.5,0.47,0.4,0.4,0.35,0.33,0.3,0.27,0.25,131.5,123.61,105.2,105.2,92.05,86.79,78.9,71.01,65.75
"23","Spreitenbach",NA,NA,NA,"258",NA,NA,NA,NA,297,NA,"0.85",0.6,0.57,0.57,0.57,0.53,0.4,0.37,0.35,0.3,166.5,158.175,158.175,158.175,147.075,111,102.675,97.125,83.25
"24","Stetten",NA,NA,NA,"199",NA,NA,NA,NA,235,NA,"0.67",0.42,0.38,0.35,0.33,0.3,0.28,0.25,0.25,0.22,91.14,82.46,75.95,71.61,65.1,60.76,54.25,54.25,47.74
"25","Turgi",NA,NA,NA,"270",NA,NA,NA,NA,252,NA,"0.65",0.48,0.49,0.47,0.45,0.37,0.33,0.3,0.3,0.22,125.28,127.89,122.67,117.45,96.57,86.13,78.3,78.3,57.42
"26","Untersiggenthal",NA,NA,NA,"222",NA,NA,NA,NA,247,NA,"0.7",0.5,0.47,0.45,0.43,0.4,0.32,0.3,0.28,0.22,117.25,110.215,105.525,100.835,93.8,75.04,70.35,65.66,51.59
"27","Wettingen",NA,NA,NA,"261",NA,NA,NA,NA,288,NA,"0.8",0.63,0.6,0.57,0.52,0.4,0.38,0.35,0.3,0.27,172.935,164.7,156.465,142.74,109.8,104.31,96.075,82.35,74.115
"28","Wohlenschwil",NA,NA,NA,"NA",NA,NA,NA,NA,243,NA,"0.65",0.45,0.4,0.4,0.4,0.37,0.33,0.3,0.28,0.23,109.35,97.2,97.2,97.2,89.91,80.19,72.9,68.04,55.89
"29","W체renlingen",NA,NA,NA,"224",NA,NA,NA,NA,228,NA,"0.5",0.34,0.33,0.31,0.3,0.27,0.23,0.21,0.2,0.15,76.84,74.58,70.06,67.8,61.02,51.98,47.46,45.2,33.9
"30","W체renlos",NA,NA,NA,"262",NA,NA,NA,NA,299,NA,"0.6",0.5,0.44,0.42,0.4,0.33,0.32,0.3,0.25,0.22,140.25,123.42,117.81,112.2,92.565,89.76,84.15,70.125,61.71
